App_name,Category,User_Review,Sentiments,Review_Type
brainly,Education,"This app is helped me, but the reason why I give one star it's because a couple of weeks I try to search I can't see any result I am installing this up for now because this app doesn't help me anymore it's useless I really disappointed",Negative,AC
brainly,Education,"Hi,i would like to inform that the brainly app is not working anymore,it keeps saying ""there's a connection problem"".
",Negative,AC
brainly,Education,"the app always says ""seems like there's a connection problem"" but our Wi-Fi has a load but why can't I search the app
",Negative,AC
brainly,Education,"The app is not working it said seem like there a connection problem. When imI check my internet is good and i tried to uninstall it and dow load it again it cant fix i dunno what to doo i had to do my modules please fix this asap
",Negative,AC
brainly,Education,"Even if the network is ok it shows ""something went wrong"" when trying to make acc ... Worthless",Negative,AC
brainly,Education,"Useless app, there is always some pic problems or connection issues this app is only an issue. Useless
",Negative,AC
brainly,Education,"Great app I'm using it 4 months but the problem is when I was trying to find an answer it always says ""Something went wrong""",Negative,AC
brainly,Education,"This good it's help me a lot but it keep saying it seems like no connection problem it's so anoyying pls fix this
",Negative,AC
brainly,Education,This app is disgusting !! I gave it 1 star because even though my internet connection is strong,Negative,AC
brainly,Education,Doesn't open easily. Takes so much time for opening. Sometimes it doesn't open and start hanging. Only one star for this app.,Negative,AC
brainly,Education,"I can't log in to the app or sign up, try to fix the issue as soon as you can. I'm drawing the attention of app developers.
",Negative,AC
brainly,Education,"Every single time I click on the answer to a question the app crashes, even after clearing cache, data, reinstalling, and relogging in.
",Negative,AC
brainly,Education,"This app does not function properly I click photo it does not understand the question.the app sucks l.the website is much better but now we cannot acce s that as well as you force us to download
",Negative,AC
brainly,Education,Not working properly plz fix the problem,Negative,AC
brainly,Education,"App is not good, stuck in between",Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education,app is not working,Negative,AC
brainly,Education,this app will be not started some issue,Negative,AC
brainly,Education,so many issues,Negative,AC
brainly,Education,app is troubling,Negative,AC
brainly,Education,Its annoying,Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education, it shows brainly not responding.,Negative,AC
brainly,Education,not working in all platform sychronously,Negative,AC
brainly,Education,App is not good,Negative,AC
brainly,Education, it saying NO CONNECTION! pls fix this I need thiss.,Negative,AC
brainly,Education,App is frustrating,Negative,AC
brainly,Education,"it is gettingworse day by day , cannot directly open link with browser to app,not able to change email , not able change the language of voice connect , not getting rank promotion, difficulty in answering question",Negative,AC
brainly,Education,Something went wrong please try again,Negative,AC
brainly,Education,This helps me alot. But why can not i use it now  It say No internet access But i have a good connection.,Negative,AC
brainly,Education,"include some more excited features, not interesting features",Negative,AC
brainly,Education,Press Scan And Solve its Crashing sometimes and its Full Of White FOW,Negative,AC
brainly,Education,"The problem have to fix, not perform accurately",Negative,AC
brainly,Education,App is not working,Negative,AC
brainly,Education,Some times it has error,Negative,AC
brainly,Education,I had a little trouble with it,Negative,AC
brainly,Education,I cant see the answer,Negative,AC
brainly,Education,"It will be help at times but for other times, you have to pay to get the answer. It is very annoying.",Negative,AC
brainly,Education,I donot like this app not working ,Negative,AC
brainly,Education,"I don't know what's goin' on today everytime I open my Brainly app it always say that ""seem like that theres a connection problem"" but my internet is ok it's in high speed please fix this update 
",Negative,AC
brainly,Education,"Would've like to rate it higher but it just randomly stopped working, started saying connection error whenever i got on the app, i've tried it on wifi, data, deleted the app, redownloaded it, can't get it to work
",Negative,AC
brainly,Education,"my brainly app is not working. It says there is connection problem, but when I open other apps they works fast. Please see the problem.
",Negative,AC
brainly,Education,"This app is helped me, but the reason why I give one star it's because a couple of weeks I try to search I can't see any result I am installing this up for now because this app doesn't help me anymore it's useless I really disappointed",Negative,AC
brainly,Education,"Hi,i would like to inform that the brainly app is not working anymore,it keeps saying ""there's a connection problem"".
",Negative,AC
brainly,Education,"the app always says ""seems like there's a connection problem"" but our Wi-Fi has a load but why can't I search the app
",Negative,AC
brainly,Education,"The app is not working it said seem like there a connection problem. When imI check my internet is good and i tried to uninstall it and dow load it again it cant fix i dunno what to doo i had to do my modules please fix this asap
",Negative,AC
brainly,Education,"Even if the network is ok it shows ""something went wrong"" when trying to make acc ... Worthless",Negative,AC
brainly,Education,"Useless app, there is always some pic problems or connection issues this app is only an issue. Useless
",Negative,AC
brainly,Education,"Great app I'm using it 4 months but the problem is when I was trying to find an answer it always says ""Something went wrong""",Negative,AC
brainly,Education,"This good it's help me a lot but it keep saying it seems like no connection problem it's so anoyying pls fix this
",Negative,AC
brainly,Education,This app is disgusting !! I gave it 1 star because even though my internet connection is strong,Negative,AC
brainly,Education,Doesn't open easily. Takes so much time for opening. Sometimes it doesn't open and start hanging. Only one star for this app.,Negative,AC
brainly,Education,"I can't log in to the app or sign up, try to fix the issue as soon as you can. I'm drawing the attention of app developers.
",Negative,AC
brainly,Education,"Every single time I click on the answer to a question the app crashes, even after clearing cache, data, reinstalling, and relogging in.
",Negative,AC
brainly,Education,"This app does not function properly I click photo it does not understand the question.the app sucks l.the website is much better but now we cannot acce s that as well as you force us to download
",Negative,AC
brainly,Education,Not working properly plz fix the problem,Negative,AC
brainly,Education,"App is not good, stuck in between",Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education,app is not working,Negative,AC
brainly,Education,this app will be not started some issue,Negative,AC
brainly,Education,so many issues,Negative,AC
brainly,Education,app is troubling,Negative,AC
brainly,Education,Its annoying,Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education, it shows brainly not responding.,Negative,AC
brainly,Education,not working in all platform sychronously,Negative,AC
brainly,Education,App is not good,Negative,AC
brainly,Education, it saying NO CONNECTION! pls fix this I need thiss.,Negative,AC
brainly,Education,App is frustrating,Negative,AC
brainly,Education,"it is gettingworse day by day , cannot directly open link with browser to app,not able to change email , not able change the language of voice connect , not getting rank promotion, difficulty in answering question",Negative,AC
brainly,Education,Something went wrong please try again,Negative,AC
brainly,Education,This helps me alot. But why can not i use it now  It say No internet access But i have a good connection.,Negative,AC
brainly,Education,"include some more excited features, not interesting features",Negative,AC
brainly,Education,Press Scan And Solve its Crashing sometimes and its Full Of White FOW,Negative,AC
brainly,Education,"The problem have to fix, not perform accurately",Negative,AC
brainly,Education,App is not working,Negative,AC
brainly,Education,Some times it has error,Negative,AC
brainly,Education,I had a little trouble with it,Negative,AC
brainly,Education,I cant see the answer,Negative,AC
brainly,Education,"It will be help at times but for other times, you have to pay to get the answer. It is very annoying.",Negative,AC
brainly,Education,I donot like this app not working ,Negative,AC
brainly,Education,"I don't know what's goin' on today everytime I open my Brainly app it always say that ""seem like that theres a connection problem"" but my internet is ok it's in high speed please fix this update 
",Negative,AC
brainly,Education,"Would've like to rate it higher but it just randomly stopped working, started saying connection error whenever i got on the app, i've tried it on wifi, data, deleted the app, redownloaded it, can't get it to work
",Negative,AC
brainly,Education,"my brainly app is not working. It says there is connection problem, but when I open other apps they works fast. Please see the problem.
",Negative,AC
brainly,Education,"This app is helped me, but the reason why I give one star it's because a couple of weeks I try to search I can't see any result I am installing this up for now because this app doesn't help me anymore it's useless I really disappointed",Negative,AC
brainly,Education,"Hi,i would like to inform that the brainly app is not working anymore,it keeps saying ""there's a connection problem"".
",Negative,AC
brainly,Education,"the app always says ""seems like there's a connection problem"" but our Wi-Fi has a load but why can't I search the app
",Negative,AC
brainly,Education,"The app is not working it said seem like there a connection problem. When imI check my internet is good and i tried to uninstall it and dow load it again it cant fix i dunno what to doo i had to do my modules please fix this asap
",Negative,AC
brainly,Education,"Even if the network is ok it shows ""something went wrong"" when trying to make acc ... Worthless",Negative,AC
brainly,Education,"Useless app, there is always some pic problems or connection issues this app is only an issue. Useless
",Negative,AC
brainly,Education,"Great app I'm using it 4 months but the problem is when I was trying to find an answer it always says ""Something went wrong""",Negative,AC
brainly,Education,"This good it's help me a lot but it keep saying it seems like no connection problem it's so anoyying pls fix this
",Negative,AC
brainly,Education,This app is disgusting !! I gave it 1 star because even though my internet connection is strong,Negative,AC
brainly,Education,Doesn't open easily. Takes so much time for opening. Sometimes it doesn't open and start hanging. Only one star for this app.,Negative,AC
brainly,Education,"I can't log in to the app or sign up, try to fix the issue as soon as you can. I'm drawing the attention of app developers.
",Negative,AC
brainly,Education,"Every single time I click on the answer to a question the app crashes, even after clearing cache, data, reinstalling, and relogging in.
",Negative,AC
brainly,Education,"This app does not function properly I click photo it does not understand the question.the app sucks l.the website is much better but now we cannot acce s that as well as you force us to download
",Negative,AC
brainly,Education,Not working properly plz fix the problem,Negative,AC
brainly,Education,"App is not good, stuck in between",Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education,app is not working,Negative,AC
brainly,Education,this app will be not started some issue,Negative,AC
brainly,Education,so many issues,Negative,AC
brainly,Education,app is troubling,Negative,AC
brainly,Education,Its annoying,Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education, it shows brainly not responding.,Negative,AC
brainly,Education,not working in all platform sychronously,Negative,AC
brainly,Education,App is not good,Negative,AC
brainly,Education, it saying NO CONNECTION! pls fix this I need thiss.,Negative,AC
brainly,Education,App is frustrating,Negative,AC
brainly,Education,"it is gettingworse day by day , cannot directly open link with browser to app,not able to change email , not able change the language of voice connect , not getting rank promotion, difficulty in answering question",Negative,AC
brainly,Education,Something went wrong please try again,Negative,AC
brainly,Education,This helps me alot. But why can not i use it now  It say No internet access But i have a good connection.,Negative,AC
brainly,Education,"include some more excited features, not interesting features",Negative,AC
brainly,Education,Press Scan And Solve its Crashing sometimes and its Full Of White FOW,Negative,AC
brainly,Education,"The problem have to fix, not perform accurately",Negative,AC
brainly,Education,App is not working,Negative,AC
brainly,Education,Some times it has error,Negative,AC
brainly,Education,I had a little trouble with it,Negative,AC
brainly,Education,I cant see the answer,Negative,AC
brainly,Education,"It will be help at times but for other times, you have to pay to get the answer. It is very annoying.",Negative,AC
brainly,Education,I donot like this app not working ,Negative,AC
brainly,Education,"I don't know what's goin' on today everytime I open my Brainly app it always say that ""seem like that theres a connection problem"" but my internet is ok it's in high speed please fix this update 
",Negative,AC
brainly,Education,"Would've like to rate it higher but it just randomly stopped working, started saying connection error whenever i got on the app, i've tried it on wifi, data, deleted the app, redownloaded it, can't get it to work
",Negative,AC
brainly,Education,"my brainly app is not working. It says there is connection problem, but when I open other apps they works fast. Please see the problem.
",Negative,AC
brainly,Education,"This app is helped me, but the reason why I give one star it's because a couple of weeks I try to search I can't see any result I am installing this up for now because this app doesn't help me anymore it's useless I really disappointed",Negative,AC
brainly,Education,"Hi,i would like to inform that the brainly app is not working anymore,it keeps saying ""there's a connection problem"".
",Negative,AC
brainly,Education,"the app always says ""seems like there's a connection problem"" but our Wi-Fi has a load but why can't I search the app
",Negative,AC
brainly,Education,"The app is not working it said seem like there a connection problem. When imI check my internet is good and i tried to uninstall it and dow load it again it cant fix i dunno what to doo i had to do my modules please fix this asap
",Negative,AC
brainly,Education,"Even if the network is ok it shows ""something went wrong"" when trying to make acc ... Worthless",Negative,AC
brainly,Education,"Useless app, there is always some pic problems or connection issues this app is only an issue. Useless
",Negative,AC
brainly,Education,"Great app I'm using it 4 months but the problem is when I was trying to find an answer it always says ""Something went wrong""",Negative,AC
brainly,Education,"This good it's help me a lot but it keep saying it seems like no connection problem it's so anoyying pls fix this
",Negative,AC
brainly,Education,This app is disgusting !! I gave it 1 star because even though my internet connection is strong,Negative,AC
brainly,Education,Doesn't open easily. Takes so much time for opening. Sometimes it doesn't open and start hanging. Only one star for this app.,Negative,AC
brainly,Education,"I can't log in to the app or sign up, try to fix the issue as soon as you can. I'm drawing the attention of app developers.
",Negative,AC
brainly,Education,"Every single time I click on the answer to a question the app crashes, even after clearing cache, data, reinstalling, and relogging in.
",Negative,AC
brainly,Education,"This app does not function properly I click photo it does not understand the question.the app sucks l.the website is much better but now we cannot acce s that as well as you force us to download
",Negative,AC
duolingo,Education,App is crashing,Negative,AC
duolingo,Education,app slow and can't be turned off,Negative,AC
duolingo,Education,the app has so much problem,Negative,AC
duolingo,Education,"I would give more for the app itself, but this tactic they have used is unacceptable.",Negative,AC
duolingo,Education,app doesn't care about you unless you pay its stop working automatically. ,Negative,AC
duolingo,Education,It's a fine app but the constant pushing for app is annoying,Negative,AC
duolingo,Education,"The last android update it just crashes and takes everything else with it. Tried uninstalling / reinstalling but still useless. Shame, hope this gets fixed.",Negative,AC
duolingo,Education,This app is good but at challenges of any level the app hangs . So that I don't like about this app,Negative,AC
duolingo,Education,Swoosh after about a month of use yesterday the app crashes. Leaning a language is frustrating with an unreliable app. Android 9 user.,Negative,AC
duolingo,Education,Without purchasing its crashing again and again they force me to purchase,Negative,AC
duolingo,Education,App is not supported,Negative,AC
duolingo,Education,app is not running perfectly after updation app is not responding,Negative,AC
duolingo,Education,I really dislike this app because its not working,Negative,AC
duolingo,Education,App is crashing,Negative,AC
duolingo,Education,app slow and can't be turned off,Negative,AC
duolingo,Education,the app has so much problem,Negative,AC
duolingo,Education,"I would give more for the app itself, but this tactic they have used is unacceptable.",Negative,AC
duolingo,Education,app doesn't care about you unless you pay its stop working automatically. ,Negative,AC
duolingo,Education,It's a fine app but the constant pushing for app is annoying,Negative,AC
duolingo,Education,"The last android update it just crashes and takes everything else with it. Tried uninstalling / reinstalling but still useless. Shame, hope this gets fixed.",Negative,AC
duolingo,Education,This app is good but at challenges of any level the app hangs . So that I don't like about this app,Negative,AC
duolingo,Education,Swoosh after about a month of use yesterday the app crashes. Leaning a language is frustrating with an unreliable app. Android 9 user.,Negative,AC
duolingo,Education,Without purchasing its crashing again and again they force me to purchase,Negative,AC
duolingo,Education,App is not supported,Negative,AC
duolingo,Education,app is not running perfectly after updation app is not responding,Negative,AC
duolingo,Education,I really dislike this app because its not working,Negative,AC
duolingo,Education,App is crashing,Negative,AC
duolingo,Education,app slow and can't be turned off,Negative,AC
duolingo,Education,the app has so much problem,Negative,AC
duolingo,Education,"I would give more for the app itself, but this tactic they have used is unacceptable.",Negative,AC
duolingo,Education,app doesn't care about you unless you pay its stop working automatically. ,Negative,AC
duolingo,Education,It's a fine app but the constant pushing for app is annoying,Negative,AC
duolingo,Education,"The last android update it just crashes and takes everything else with it. Tried uninstalling / reinstalling but still useless. Shame, hope this gets fixed.",Negative,AC
duolingo,Education,This app is good but at challenges of any level the app hangs . So that I don't like about this app,Negative,AC
duolingo,Education,Swoosh after about a month of use yesterday the app crashes. Leaning a language is frustrating with an unreliable app. Android 9 user.,Negative,AC
duolingo,Education,Without purchasing its crashing again and again they force me to purchase,Negative,AC
duolingo,Education,App is not supported,Negative,AC
duolingo,Education,app is not running perfectly after updation app is not responding,Negative,AC
duolingo,Education,I really dislike this app because its not working,Negative,AC
duolingo,Education,App is crashing,Negative,AC
duolingo,Education,app slow and can't be turned off,Negative,AC
duolingo,Education,the app has so much problem,Negative,AC
duolingo,Education,"I would give more for the app itself, but this tactic they have used is unacceptable.",Negative,AC
duolingo,Education,app doesn't care about you unless you pay its stop working automatically. ,Negative,AC
duolingo,Education,It's a fine app but the constant pushing for app is annoying,Negative,AC
duolingo,Education,"The last android update it just crashes and takes everything else with it. Tried uninstalling / reinstalling but still useless. Shame, hope this gets fixed.",Negative,AC
duolingo,Education,This app is good but at challenges of any level the app hangs . So that I don't like about this app,Negative,AC
duolingo,Education,Swoosh after about a month of use yesterday the app crashes. Leaning a language is frustrating with an unreliable app. Android 9 user.,Negative,AC
duolingo,Education,Without purchasing its crashing again and again they force me to purchase,Negative,AC
duolingo,Education,App is not supported,Negative,AC
duolingo,Education,app is not running perfectly after updation app is not responding,Negative,AC
duolingo,Education,I really dislike this app because its not working,Negative,AC
khanacademy,Education,Endless crashes. Fixed for now,Negative,AC
khanacademy,Education,Crashes when internet connection is lost even for a fraction of a second.,Negative,AC
khanacademy,Education,I only hate the fact that the content(images) loading is very slow,Negative,AC
khanacademy,Education,"ill try to uninstall and reinstall, but it is kind of annoying",Negative,AC
khanacademy,Education,learning app is stop working,Negative,AC
khanacademy,Education,app videos is not working ,Negative,AC
khanacademy,Education,the app stops responding,Negative,AC
khanacademy,Education,This app is a waste of time and a piece of useless junk on devices because its not working,Negative,AC
khanacademy,Education,Every time I try to open the app it crashes.. please fix this then I will rate 5 stars..,Negative,AC
khanacademy,Education,"App crashed App crashed while trying to start video
",Negative,AC
khanacademy,Education,"Videos and helps are not loading
",Negative,AC
khanacademy,Education,"Ridiculous utterly ridiculous, I've tried this app and there have been nothing but inconveniences. I would not recommend this app to anyone.
",Negative,AC
khanacademy,Education,"Doesn't work It won't let me log in and all the videos can't play.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Crashes Crashes when loading video
",Negative,AC
khanacademy,Education,The app is not opening,Negative,AC
khanacademy,Education,"Waste Video not loading not a single
",Negative,AC
khanacademy,Education,"the app keeps on loading and dosen't open.
",Negative,AC
khanacademy,Education,"Your app is not working.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Worst app Slow processing ,cannot find the exact subject what I wanted ,no clear explanation worst
",Negative,AC
khanacademy,Education,"App is crash when loading video
",Negative,AC
khanacademy,Education,"App stops in the middle of running any contents Useless app Uninstalling it
",Negative,AC
khanacademy,Education,"This app when I open it was blank
",Negative,AC
khanacademy,Education,"Downloaded the app. It crashed all the time a at home tab.
",Negative,AC
khanacademy,Education,"The app doesn't open, it just crashes every time I try to open it
",Negative,AC
khanacademy,Education, I tried ur troubleshooting stuff of uninstalling and reinstalling the app but its only a waste of time It crashes MORE and MORE.Its supposed to be a learning ,Negative,AC
khanacademy,Education,"Not worth installing Not able to play any video. This app just closes automatically.
",Negative,AC
khanacademy,Education,Endless crashes. Fixed for now,Negative,AC
khanacademy,Education,Crashes when internet connection is lost even for a fraction of a second.,Negative,AC
khanacademy,Education,I only hate the fact that the content(images) loading is very slow,Negative,AC
khanacademy,Education,"ill try to uninstall and reinstall, but it is kind of annoying",Negative,AC
khanacademy,Education,learning app is stop working,Negative,AC
khanacademy,Education,app videos is not working ,Negative,AC
khanacademy,Education,the app stops responding,Negative,AC
khanacademy,Education,This app is a waste of time and a piece of useless junk on devices because its not working,Negative,AC
khanacademy,Education,Every time I try to open the app it crashes.. please fix this then I will rate 5 stars..,Negative,AC
khanacademy,Education,"App crashed App crashed while trying to start video
",Negative,AC
khanacademy,Education,"Videos and helps are not loading
",Negative,AC
khanacademy,Education,"Ridiculous utterly ridiculous, I've tried this app and there have been nothing but inconveniences. I would not recommend this app to anyone.
",Negative,AC
khanacademy,Education,"Doesn't work It won't let me log in and all the videos can't play.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Crashes Crashes when loading video
",Negative,AC
khanacademy,Education,The app is not opening,Negative,AC
khanacademy,Education,"Waste Video not loading not a single
",Negative,AC
khanacademy,Education,"the app keeps on loading and dosen't open.
",Negative,AC
khanacademy,Education,"Your app is not working.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Worst app Slow processing ,cannot find the exact subject what I wanted ,no clear explanation worst
",Negative,AC
khanacademy,Education,"App is crash when loading video
",Negative,AC
khanacademy,Education,"App stops in the middle of running any contents Useless app Uninstalling it
",Negative,AC
khanacademy,Education,"This app when I open it was blank
",Negative,AC
khanacademy,Education,"Downloaded the app. It crashed all the time a at home tab.
",Negative,AC
khanacademy,Education,"The app doesn't open, it just crashes every time I try to open it
",Negative,AC
khanacademy,Education, I tried ur troubleshooting stuff of uninstalling and reinstalling the app but its only a waste of time It crashes MORE and MORE.Its supposed to be a learning ,Negative,AC
khanacademy,Education,"Not worth installing Not able to play any video. This app just closes automatically.
",Negative,AC
khanacademy,Education,Endless crashes. Fixed for now,Negative,AC
khanacademy,Education,Crashes when internet connection is lost even for a fraction of a second.,Negative,AC
khanacademy,Education,I only hate the fact that the content(images) loading is very slow,Negative,AC
khanacademy,Education,"ill try to uninstall and reinstall, but it is kind of annoying",Negative,AC
khanacademy,Education,learning app is stop working,Negative,AC
khanacademy,Education,app videos is not working ,Negative,AC
khanacademy,Education,the app stops responding,Negative,AC
khanacademy,Education,This app is a waste of time and a piece of useless junk on devices because its not working,Negative,AC
khanacademy,Education,Every time I try to open the app it crashes.. please fix this then I will rate 5 stars..,Negative,AC
khanacademy,Education,"App crashed App crashed while trying to start video
",Negative,AC
khanacademy,Education,"Videos and helps are not loading
",Negative,AC
khanacademy,Education,"Ridiculous utterly ridiculous, I've tried this app and there have been nothing but inconveniences. I would not recommend this app to anyone.
",Negative,AC
khanacademy,Education,"Doesn't work It won't let me log in and all the videos can't play.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Crashes Crashes when loading video
",Negative,AC
khanacademy,Education,The app is not opening,Negative,AC
khanacademy,Education,"Waste Video not loading not a single
",Negative,AC
khanacademy,Education,"the app keeps on loading and dosen't open.
",Negative,AC
khanacademy,Education,"Your app is not working.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Worst app Slow processing ,cannot find the exact subject what I wanted ,no clear explanation worst
",Negative,AC
khanacademy,Education,"App is crash when loading video
",Negative,AC
khanacademy,Education,"App stops in the middle of running any contents Useless app Uninstalling it
",Negative,AC
khanacademy,Education,"This app when I open it was blank
",Negative,AC
khanacademy,Education,"Downloaded the app. It crashed all the time a at home tab.
",Negative,AC
khanacademy,Education,"The app doesn't open, it just crashes every time I try to open it
",Negative,AC
khanacademy,Education, I tried ur troubleshooting stuff of uninstalling and reinstalling the app but its only a waste of time It crashes MORE and MORE.Its supposed to be a learning ,Negative,AC
khanacademy,Education,"Not worth installing Not able to play any video. This app just closes automatically.
",Negative,AC
khanacademy,Education,Endless crashes. Fixed for now,Negative,AC
khanacademy,Education,Crashes when internet connection is lost even for a fraction of a second.,Negative,AC
khanacademy,Education,I only hate the fact that the content(images) loading is very slow,Negative,AC
khanacademy,Education,"ill try to uninstall and reinstall, but it is kind of annoying",Negative,AC
khanacademy,Education,learning app is stop working,Negative,AC
khanacademy,Education,app videos is not working ,Negative,AC
khanacademy,Education,the app stops responding,Negative,AC
khanacademy,Education,This app is a waste of time and a piece of useless junk on devices because its not working,Negative,AC
khanacademy,Education,Every time I try to open the app it crashes.. please fix this then I will rate 5 stars..,Negative,AC
khanacademy,Education,"App crashed App crashed while trying to start video
",Negative,AC
khanacademy,Education,"Videos and helps are not loading
",Negative,AC
khanacademy,Education,"Ridiculous utterly ridiculous, I've tried this app and there have been nothing but inconveniences. I would not recommend this app to anyone.
",Negative,AC
khanacademy,Education,"Doesn't work It won't let me log in and all the videos can't play.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Crashes Crashes when loading video
",Negative,AC
khanacademy,Education,The app is not opening,Negative,AC
khanacademy,Education,"Waste Video not loading not a single
",Negative,AC
khanacademy,Education,"the app keeps on loading and dosen't open.
",Negative,AC
khanacademy,Education,"Your app is not working.
",Negative,AC
khanacademy,Education,"sometimes it show error problem and close the app
",Negative,AC
khanacademy,Education,"Worst app Slow processing ,cannot find the exact subject what I wanted ,no clear explanation worst
",Negative,AC
khanacademy,Education,"App is crash when loading video
",Negative,AC
khanacademy,Education,"App stops in the middle of running any contents Useless app Uninstalling it
",Negative,AC
khanacademy,Education,"This app when I open it was blank
",Negative,AC
khanacademy,Education,"Downloaded the app. It crashed all the time a at home tab.
",Negative,AC
khanacademy,Education,"The app doesn't open, it just crashes every time I try to open it
",Negative,AC
khanacademy,Education, I tried ur troubleshooting stuff of uninstalling and reinstalling the app but its only a waste of time It crashes MORE and MORE.Its supposed to be a learning ,Negative,AC
khanacademy,Education,"Not worth installing Not able to play any video. This app just closes automatically.
",Negative,AC
microsoft math,Education,app is not working,Negative,AC
microsoft math,Education,This app deserve 1 star.This is a very bad app. This app doesnot work,Negative,AC
microsoft math,Education,This app difficult to use,Negative,AC
microsoft math,Education,"Worst app , it just keeps loading",Negative,AC
microsoft math,Education,app is not working in my phone,Negative,AC
microsoft math,Education,So much bugs,Negative,AC
microsoft math,Education,Overall experience is not good because it was again and again stuck,Negative,AC
microsoft math,Education,Not all features are available,Negative,AC
microsoft math,Education,Very slow and laggish,Negative,AC
microsoft math,Education,not working properly,Negative,AC
microsoft math,Education,Not useful at all. I don't like this app as it shows ,Negative,AC
microsoft math,Education,Terrible App,Negative,AC
microsoft math,Education,app buttons are not working properly,Negative,AC
microsoft math,Education,Very terrible app,Negative,AC
microsoft math,Education,Its not working,Negative,AC
microsoft math,Education,Doesnot help ,Negative,AC
microsoft math,Education,Weird. ,Negative,AC
microsoft math,Education,Why does the program not work properly ,Negative,AC
microsoft math,Education,app have so many issues,Negative,AC
microsoft math,Education,it is vey difficult for using it because it is compicated.,Negative,AC
microsoft math,Education,terable app,Negative,AC
microsoft math,Education,It literally sucks . Don't install it cause it doesn't work .,Negative,AC
microsoft math,Education,very bad app,Negative,AC
microsoft math,Education, I really hate this app This is useless,Negative,AC
microsoft math,Education,Garbage,Negative,AC
microsoft math,Education,Slower application,Negative,AC
microsoft math,Education,It is aBad app. ,Negative,AC
microsoft math,Education,Keeps crashing on every device don't know why,Negative,AC
microsoft math,Education,Very bad disgusting app frnds donot install it ,Negative,AC
microsoft math,Education,Useless app ,Negative,AC
microsoft math,Education,app is freeze in between,Negative,AC
microsoft math,Education,completely garbage and useless at getting problems that have word problems.,Negative,AC
microsoft math,Education,Scan option not working,Negative,AC
microsoft math,Education,Need internet connection even for basic features,Negative,AC
microsoft math,Education,Doesnot show solutions and hardly ever solve any relevant problems,Negative,AC
microsoft math,Education,Completely useless,Negative,AC
microsoft math,Education,Terrible.,Negative,AC
microsoft math,Education,application is troubling,Negative,AC
microsoft math,Education,Terrible app,Negative,AC
microsoft math,Education,app functions not working,Negative,AC
microsoft math,Education,Its the worst app ,Negative,AC
microsoft math,Education,Have not been able to download app,Negative,AC
microsoft math,Education,Worst app. Just waste of time app is crashing,Negative,AC
